p,x,s,n,t,p,f,c,n,k,e
e,x,s,y,t,a,f,c,b,k,e
e,b,s,w,t,l,f,c,b,n,e
p,x,y,w,t,p,f,c,n,n,e
e,x,s,g,f,n,f,w,b,k,t
e,x,y,y,t,a,f,c,b,n,e
e,b,s,w,t,a,f,c,b,g,e
e,b,y,w,t,l,f,c,b,n,e
p,x,y,w,t,p,f,c,n,p,e
e,b,s,y,t,a,f,c,b,g,e
e,x,y,y,t,l,f,c,b,g,e
e,x,y,y,t,a,f,c,b,n,e
e,b,s,y,t,a,f,c,b,w,e
p,x,y,w,t,p,f,c,n,k,e
e,x,f,n,f,n,f,w,b,n,t
e,s,f,g,f,n,f,c,n,k,e
e,f,f,w,f,n,f,w,b,k,t
p,x,s,n,t,p,f,c,n,n,e
p,x,y,w,t,p,f,c,n,n,e
p,x,s,n,t,p,f,c,n,k,e
e,b,s,y,t,a,f,c,b,k,e
p,x,y,n,t,p,f,c,n,n,e
e,b,y,y,t,l,f,c,b,k,e
e,b,y,w,t,a,f,c,b,w,e
e,b,s,w,t,l,f,c,b,g,e
p,f,s,w,t,p,f,c,n,n,e
e,x,y,y,t,a,f,c,b,n,e
e,x,y,w,t,l,f,c,b,w,e
e,f,f,n,f,n,f,c,n,k,e
e,x,s,y,t,a,f,w,n,n,t
e,b,s,y,t,l,f,c,b,g,e
p,x,y,w,t,p,f,c,n,k,e
e,x,y,y,t,l,f,c,b,n,e
e,x,y,n,t,l,f,c,b,p,e
e,b,y,y,t,l,f,c,b,n,e
e,x,f,y,t,l,f,w,n,w,t
e,s,f,g,f,n,f,c,n,k,e
p,x,y,n,t,p,f,c,n,w,e
e,x,f,y,t,a,f,w,n,p,t
e,b,s,y,t,l,f,c,b,k,e
e,b,y,y,t,a,f,c,b,n,e
e,x,y,y,t,l,f,c,b,n,e
e,x,f,n,f,n,f,c,n,g,e
p,x,y,w,t,p,f,c,n,p,e
e,x,s,y,t,a,f,c,b,w,e
e,x,y,w,t,a,f,c,b,n,e
e,x,y,y,t,l,f,c,b,k,e
e,x,s,w,t,l,f,c,b,w,e
e,x,y,y,t,l,f,c,b,n,e
e,f,y,y,t,l,f,c,b,w,e
e,x,y,n,t,a,f,c,b,w,e
e,x,s,w,t,l,f,c,b,k,e
e,b,s,w,t,l,f,c,b,k,e
